League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Brazil Copa do Nordeste,2022/2023,2023-01-05 19:30:00,0,Vitória,Cordino,2,1,3,"['15', '9006']",['17'],1.4,4.0,6.5,1.9,2.13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,Jacuipense,Altos,4,1,5,"['5', '20', '49', '58']",['18'],1.95,3.1,3.6,1.97,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,CSA,Potiguar Mossoró,2,1,3,"['50', '69']",['75'],1.4,4.0,7.0,1.85,2.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,América RN,Moto Club MA,5,0,5,"['11', '19', '33', '61', '77']",[],1.57,3.6,5.0,2.17,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,Confiança,Sousa,1,0,1,['44'],[],1.62,3.4,5.0,2.12,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,Ferroviário,ASA,1,1,2,['45+2'],['17'],2.0,3.25,3.2,2.01,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-05 21:30:00,0,Santa Cruz,Caucaia,2,0,2,"['53', '90+1']",[],1.36,4.33,7.5,1.67,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-05 21:30:00,0,Botafogo PB,Retrô,0,0,0,[],[],1.91,3.25,3.5,1.98,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-08 16:00:00,0,CSA,América RN,0,0,0,[],[],2.0,2.99,3.18,2.33,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-08 16:00:00,0,Confiança,Ferroviário,0,0,0,[],[],1.76,3.13,3.84,2.18,2.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-08 16:00:00,0,Vitória,Jacuipense,1,0,1,['34'],[],1.58,3.35,4.57,2.23,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil Copa do Nordeste,2022/2023,2023-01-08 19:15:00,0,Santa Cruz,Botafogo PB,2,1,3,"['31', '55']",['45'],2.24,2.98,2.72,2.5,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
